,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
mean,0.10210479573712254,0.12501243339254006,0.14798579040852583,0.17892184724689175,0.21462166962699816,0.2598436944937833,0.3640515097690941,0.4462024866785082,0.6584689165186495,1.2041936056838358,1.2500266429840137,1.2959538188277084,1.3578774422735342,1.429277087033748,1.5196873889875666,1.7280710479573702,1.8924174067495556,2.316905861456489,0.2151367673179399,0.24972113676731797,0.2821563055062168,0.32326465364120793,0.36753996447602116,0.4198170515097697,0.5277673179396093,0.6035008880994676,0.7758969804618117,0.0020390763765541706,0.0028721136767317842,0.003298401420959135,0.004307282415630527,0.0049946714031971285,0.005765541740674931,0.006705150976909383,0.007658969804618091,0.009071047957371186,strahler2
std,0.06047841321086774,0.07230125431404905,0.083897029396162,0.09903344775638968,0.11595396079588505,0.13663664731646905,0.18184966761719754,0.21536148092710308,0.29415620383180513,0.12095031403174628,0.14462751642052832,0.16778661036552617,0.19810309756801944,0.23191770066839323,0.27331269806960784,0.3637176106284712,0.4307413846012589,0.5883572552501073,0.16470979800955882,0.18800188922761887,0.2092719639238544,0.23549516835342255,0.26290218419286576,0.294160111328217,0.35561811387462733,0.39667746597189774,0.4808547661134997,0.001931726275948088,0.0033748051702628037,0.0038926586074691976,0.004971420123710532,0.0057251682618685955,0.006560022826452272,0.0075805349934403654,0.008626339929183163,0.01038315413663392,strahler2
min,0.005,0.006999999999999999,0.008,0.01,0.012,0.016,0.024,0.03,0.049,1.01,1.013,1.016,1.02,1.025,1.031,1.047,1.061,1.0979999999999999,0.013000000000000001,0.018000000000000002,0.019,0.021,0.023,0.026000000000000002,0.032,0.037000000000000005,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler2
1%,0.01162,0.01524,0.01824,0.02286,0.02848,0.035100000000000006,0.05334,0.06996,0.11800000000000001,1.02348,1.02948,1.0361,1.04534,1.05596,1.0712,1.10768,1.1393,1.236,0.016,0.019,0.021,0.024,0.027999999999999997,0.032,0.040619999999999996,0.04662,0.11034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler2
5%,0.0181,0.023100000000000002,0.0281,0.036000000000000004,0.045099999999999994,0.0581,0.09009999999999999,0.115,0.17700000000000002,1.0361,1.0461,1.057,1.072,1.0902,1.1161,1.1802,1.2292,1.3539999999999999,0.042,0.051,0.057999999999999996,0.0661,0.0771,0.092,0.122,0.1412,0.196,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,strahler2
25%,0.057,0.07200000000000001,0.0865,0.105,0.127,0.155,0.223,0.27749999999999997,0.4405,1.1145,1.143,1.173,1.209,1.2534999999999998,1.3090000000000002,1.446,1.5550000000000002,1.8809999999999998,0.09,0.106,0.1225,0.14300000000000002,0.16449999999999998,0.193,0.2495,0.29100000000000004,0.3915,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,strahler2
50%,0.08900000000000001,0.11,0.133,0.161,0.19399999999999998,0.23800000000000002,0.344,0.428,0.637,1.178,1.219,1.266,1.3219999999999998,1.389,1.475,1.6869999999999998,1.8559999999999999,2.274,0.16399999999999998,0.19399999999999998,0.222,0.259,0.302,0.349,0.452,0.528,0.6940000000000001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,strahler2
75%,0.146,0.1765,0.20850000000000002,0.253,0.3055,0.36750000000000005,0.5105,0.6194999999999999,0.886,1.292,1.3530000000000002,1.416,1.5065,1.6105,1.7345000000000002,2.0214999999999996,2.239,2.7725,0.31,0.3535,0.396,0.4505,0.512,0.5825,0.724,0.8175,1.0090000000000001,0.002,0.003,0.004,0.005,0.006,0.006999999999999999,0.008,0.009000000000000001,0.01,strahler2
95%,0.214,0.25889999999999996,0.30279999999999996,0.359,0.424,0.505,0.684,0.8208999999999999,1.1666,1.4269999999999998,1.5176999999999998,1.6046999999999998,1.7189,1.8479,2.009,2.3680000000000003,2.6418,3.3332999999999995,0.5414999999999999,0.6209,0.6940000000000001,0.7899,0.8903999999999997,1.0086,1.2417999999999996,1.3901999999999999,1.6867999999999999,0.006,0.008,0.009000000000000001,0.012,0.013999999999999999,0.016,0.019,0.022000000000000002,0.02589999999999998,strahler2
99%,0.23313999999999996,0.28114,0.32875999999999994,0.39252,0.46352000000000004,0.55014,0.742,0.88638,1.24432,1.4662799999999998,1.5619,1.6571399999999998,1.78528,1.9274200000000001,2.1005200000000004,2.48338,2.7737600000000002,3.4880199999999997,0.698,0.79894,0.8881599999999998,1.0077199999999997,1.1328,1.27792,1.62526,1.85584,2.30002,0.01,0.023379999999999995,0.026759999999999992,0.03413999999999999,0.038519999999999985,0.04327999999999997,0.049039999999999966,0.05403999999999996,0.06441999999999996,strahler2
