reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
1029.000,0.118,0.142,0.165,0.195,0.230,0.242,0.273,0.370,0.446,0.640,0.736,0.783,0.829,0.890,0.959,0.984,1.045,1.240,1.392,1.779,609.823,901.385,1249.260,1807.248,2581.072,3156.814,3764.831,7394.809,11178.432,24822.486,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.097,0.115,0.133,0.155,0.179,0.186,0.208,0.267,0.308,0.396
103.000,0.024,0.029,0.034,0.041,0.049,0.052,0.059,0.083,0.101,0.147,0.547,0.558,0.569,0.583,0.599,0.604,0.619,0.665,0.701,0.794,69.479,103.207,143.068,206.998,295.627,361.699,431.396,847.140,1280.643,2846.211,0.001,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.065,0.078,0.091,0.108,0.127,0.134,0.151,0.205,0.246,0.348
1030.000,0.135,0.163,0.189,0.224,0.263,0.276,0.311,0.419,0.501,0.706,0.771,0.825,0.878,0.948,1.026,1.052,1.123,1.338,1.503,1.911,609.746,901.347,1249.018,1807.134,2581.228,3156.828,3764.824,7394.809,11181.790,24822.594,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.082,0.097,0.111,0.130,0.149,0.155,0.173,0.223,0.259,0.339
1031.000,0.044,0.056,0.068,0.086,0.107,0.116,0.134,0.200,0.254,0.398,0.588,0.612,0.637,0.672,0.713,0.731,0.768,0.900,1.008,1.296,609.670,901.447,1249.158,1807.045,2581.281,3156.822,3765.151,7394.809,11182.196,24822.594,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.295,0.336,0.373,0.418,0.464,0.473,0.516,0.615,0.679,0.808
1032.000,0.122,0.146,0.169,0.200,0.234,0.245,0.276,0.369,0.439,0.611,0.744,0.792,0.838,0.899,0.968,0.990,1.052,1.238,1.379,1.722,609.663,901.571,1249.165,1807.119,2581.011,3156.818,3765.087,7394.809,11180.384,24822.436,0.003,0.004,0.004,0.006,0.007,0.007,0.008,0.009,0.010,0.012,0.094,0.111,0.128,0.150,0.175,0.182,0.204,0.268,0.315,0.425
1033.000,0.055,0.070,0.086,0.108,0.133,0.144,0.167,0.246,0.310,0.472,0.611,0.641,0.672,0.715,0.767,0.788,0.834,0.993,1.120,1.445,580.747,859.138,1190.213,1721.821,2459.104,3008.436,3587.444,7045.833,10652.780,23651.926,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.220,0.249,0.275,0.306,0.338,0.345,0.374,0.445,0.493,0.599
1034.000,0.123,0.146,0.169,0.199,0.233,0.245,0.276,0.371,0.443,0.622,0.745,0.792,0.838,0.899,0.967,0.990,1.052,1.241,1.386,1.744,580.744,859.140,1190.305,1721.802,2458.950,3008.426,3587.630,7045.833,10653.282,23651.586,0.002,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.009,0.011,0.089,0.106,0.122,0.144,0.167,0.174,0.195,0.254,0.296,0.394
1035.000,0.125,0.152,0.178,0.213,0.251,0.264,0.299,0.404,0.484,0.677,0.750,0.804,0.857,0.925,1.003,1.028,1.098,1.308,1.467,1.855,580.755,859.024,1190.209,1721.771,2458.908,3008.429,3587.596,7045.833,10652.179,23651.037,0.003,0.004,0.005,0.007,0.008,0.008,0.009,0.010,0.012,0.013,0.086,0.101,0.114,0.132,0.151,0.157,0.175,0.224,0.260,0.345
1036.000,0.064,0.082,0.100,0.126,0.157,0.170,0.197,0.292,0.366,0.554,0.628,0.664,0.701,0.753,0.815,0.840,0.895,1.083,1.232,1.608,551.730,816.144,1130.933,1636.037,2336.686,2858.437,3409.097,6695.135,10121.506,22474.408,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.007,0.178,0.199,0.218,0.240,0.263,0.267,0.288,0.337,0.371,0.447
1037.000,0.038,0.049,0.059,0.074,0.092,0.100,0.115,0.172,0.219,0.343,0.577,0.597,0.619,0.648,0.684,0.699,0.731,0.844,0.937,1.186,541.950,801.685,1110.981,1607.131,2295.281,2808.043,3348.888,6576.801,9941.052,22076.904,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.305,0.349,0.389,0.439,0.491,0.501,0.549,0.662,0.736,0.888
1038.000,0.039,0.049,0.059,0.074,0.092,0.099,0.114,0.169,0.214,0.331,0.577,0.598,0.619,0.648,0.683,0.698,0.729,0.838,0.928,1.163,485.044,717.751,994.785,1439.146,2055.072,2513.966,2998.385,5888.611,8907.112,19764.812,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.271,0.311,0.348,0.394,0.441,0.452,0.496,0.605,0.678,0.835
1039.000,0.043,0.055,0.067,0.083,0.103,0.111,0.129,0.191,0.241,0.374,0.587,0.610,0.634,0.667,0.706,0.723,0.758,0.881,0.983,1.248,487.987,722.018,1000.826,1447.765,2067.449,2529.227,3016.586,5924.000,8958.238,19884.246,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.241,0.276,0.308,0.347,0.387,0.396,0.433,0.523,0.582,0.708
104.000,0.009,0.011,0.014,0.017,0.021,0.023,0.027,0.040,0.052,0.084,0.518,0.523,0.528,0.535,0.543,0.546,0.554,0.581,0.603,0.667,71.643,106.410,147.503,213.416,304.778,372.886,444.764,873.398,1320.550,2934.336,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.183,0.213,0.242,0.278,0.318,0.329,0.366,0.466,0.538,0.700
1040.000,0.050,0.063,0.078,0.098,0.122,0.132,0.154,0.230,0.291,0.446,0.599,0.627,0.656,0.696,0.744,0.765,0.808,0.960,1.081,1.392,506.223,749.020,1038.155,1501.781,2144.608,2623.837,3129.105,6145.017,9292.045,20625.941,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.216,0.244,0.268,0.298,0.328,0.334,0.361,0.426,0.470,0.568
1041.000,0.105,0.126,0.145,0.171,0.200,0.210,0.236,0.317,0.378,0.528,0.711,0.751,0.791,0.843,0.901,0.920,0.973,1.133,1.256,1.556,406.124,601.127,833.315,1205.542,1721.484,2105.774,2511.774,4932.833,7461.441,16557.213,0.003,0.004,0.005,0.007,0.008,0.008,0.010,0.011,0.013,0.016,0.074,0.089,0.103,0.122,0.143,0.149,0.168,0.222,0.262,0.355
1042.000,0.039,0.050,0.061,0.076,0.095,0.102,0.119,0.177,0.225,0.349,0.578,0.600,0.622,0.652,0.689,0.705,0.737,0.854,0.949,1.199,463.601,685.919,950.813,1375.696,1964.448,2403.692,2866.184,5629.220,8514.818,18893.051,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.255,0.291,0.324,0.364,0.406,0.415,0.454,0.547,0.609,0.740
1043.000,0.094,0.115,0.135,0.162,0.193,0.203,0.230,0.314,0.377,0.531,0.688,0.730,0.770,0.824,0.885,0.906,0.960,1.127,1.254,1.561,485.021,717.682,994.621,1439.113,2054.997,2513.984,2998.047,5888.611,8908.176,19764.025,0.003,0.004,0.004,0.006,0.006,0.007,0.007,0.009,0.010,0.012,0.101,0.118,0.135,0.156,0.179,0.186,0.207,0.268,0.313,0.420
